system,method,rep,tag,tau_ps,commit_ns,occupancy,committed
CLN025,Random,0,moas_random,20.0,,5.394761686402503e-05,False
CLN025,Random,0,moas_random,40.0,,5.394761686402503e-05,False
CLN025,Random,0,moas_random,60.0,,5.394761686402503e-05,False
CLN025,Random,0,moas_random,80.0,,5.394761686402503e-05,False
CLN025,Random,1,moas_s1_random,20.0,,0.0,False
CLN025,Random,1,moas_s1_random,40.0,,0.0,False
CLN025,Random,1,moas_s1_random,60.0,,0.0,False
CLN025,Random,1,moas_s1_random,80.0,,0.0,False
CLN025,Random,2,moas_s2_random,20.0,,8.092142529603754e-05,False
CLN025,Random,2,moas_s2_random,40.0,,8.092142529603754e-05,False
CLN025,Random,2,moas_s2_random,60.0,,8.092142529603754e-05,False
CLN025,Random,2,moas_s2_random,80.0,,8.092142529603754e-05,False
CLN025,LAST,0,discover_last,20.0,46.366,0.02476195614058749,True
CLN025,LAST,0,discover_last,40.0,46.366,0.02476195614058749,True
CLN025,LAST,0,discover_last,60.0,46.366,0.02476195614058749,True
CLN025,LAST,0,discover_last,80.0,46.366,0.02476195614058749,True
CLN025,LAST,1,discover_s1_last,20.0,28.072,0.016561918377255683,True
CLN025,LAST,1,discover_s1_last,40.0,46.178,0.016561918377255683,True
CLN025,LAST,1,discover_s1_last,60.0,,0.016561918377255683,False
CLN025,LAST,1,discover_s1_last,80.0,,0.016561918377255683,False
CLN025,LAST,2,discover_s2_last,20.0,80.494,0.003776333180481752,True
CLN025,LAST,2,discover_s2_last,40.0,80.494,0.003776333180481752,True
CLN025,LAST,2,discover_s2_last,60.0,80.494,0.003776333180481752,True
CLN025,LAST,2,discover_s2_last,80.0,80.494,0.003776333180481752,True
CLN025,Least-counts,0,discover_lc,20.0,80.266,0.0022118522914250263,True
CLN025,Least-counts,0,discover_lc,40.0,80.266,0.0022118522914250263,True
CLN025,Least-counts,0,discover_lc,60.0,80.266,0.0022118522914250263,True
CLN025,Least-counts,0,discover_lc,80.0,80.266,0.0022118522914250263,True
CLN025,Least-counts,1,discover_s1_lc,20.0,34.124,0.00825398538019583,True
CLN025,Least-counts,1,discover_s1_lc,40.0,34.124,0.00825398538019583,True
CLN025,Least-counts,1,discover_s1_lc,60.0,,0.00825398538019583,False
CLN025,Least-counts,1,discover_s1_lc,80.0,,0.00825398538019583,False
CLN025,Least-counts,2,discover_s2_lc,20.0,68.622,0.004153966498529928,True
CLN025,Least-counts,2,discover_s2_lc,40.0,68.622,0.004153966498529928,True
CLN025,Least-counts,2,discover_s2_lc,60.0,,0.004153966498529928,False
CLN025,Least-counts,2,discover_s2_lc,80.0,,0.004153966498529928,False
CLN025,kNN-AS,0,discover_knn,20.0,,2.6973808432012517e-05,False
CLN025,kNN-AS,0,discover_knn,40.0,,2.6973808432012517e-05,False
CLN025,kNN-AS,0,discover_knn,60.0,,2.6973808432012517e-05,False
CLN025,kNN-AS,0,discover_knn,80.0,,2.6973808432012517e-05,False
CLN025,kNN-AS,1,discover_s1_knn,20.0,70.132,0.0014026380384646508,True
CLN025,kNN-AS,1,discover_s1_knn,40.0,,0.0014026380384646508,False
CLN025,kNN-AS,1,discover_s1_knn,60.0,,0.0014026380384646508,False
CLN025,kNN-AS,1,discover_s1_knn,80.0,,0.0014026380384646508,False
CLN025,kNN-AS,2,discover_s2_knn,20.0,56.648,0.0052059450273784155,True
CLN025,kNN-AS,2,discover_s2_knn,40.0,56.648,0.0052059450273784155,True
CLN025,kNN-AS,2,discover_s2_knn,60.0,,0.0052059450273784155,False
CLN025,kNN-AS,2,discover_s2_knn,80.0,,0.0052059450273784155,False
CLN025,MOAS,0,moas_static,20.0,37.77,0.04046071264801877,True
CLN025,MOAS,0,moas_static,40.0,40.12,0.04046071264801877,True
CLN025,MOAS,0,moas_static,60.0,40.12,0.04046071264801877,True
CLN025,MOAS,0,moas_static,80.0,40.12,0.04046071264801877,True
CLN025,MOAS,1,moas_s1_static,20.0,34.086,0.06792004963180752,True
CLN025,MOAS,1,moas_s1_static,40.0,34.086,0.06792004963180752,True
CLN025,MOAS,1,moas_s1_static,60.0,34.086,0.06792004963180752,True
